id;categorie;question;page;graphique;données;motscles
1;Général;Quels sont les indicateurs clés de performance actuels ?;Tableau_Bord_General;Carte KPI;Taux de réclamations clôturées/en cours - Délai moyen de paiement - Taux de compteurs sans relève;KPI performance suivi-global reporting
2;Général;Comment évolue le taux de réclamations clôturées et en cours ?;Tableau_Bord_General;Graphique en courbe;Date - Taux de réclamations clôturées - Taux de réclamations en cours;évolution réclamations clôturées en-cours satisfaction-client
3;Général;Quelle est la tendance des factures impayées au cours des 6 derniers mois ?;Tableau_Bord_General;Graphique en courbe;Date - Nombre de factures impayées;factures impayées évolution dettes
4;Général;Quelle est la répartition des affaires par statut ?;Tableau_Bord_General;Graphique en barres;Nombre d’affaires - Statut (Clôturée / En cours);affaires répartition statut suivi-gestion
5;Général;Quels indicateurs nécessitent une action immédiate ?;Tableau_Bord_General;Carte KPI + Alerte;Indicateurs critiques nécessitant une action;indicateurs-critiques suivi-urgence alerte-action
6;Général;Quelle est la performance globale des services sur les 6 derniers mois ?;Tableau_Bord_General;Graphique en courbe;Date - Evolution des KPI principaux;performance services suivi gestion
7;Général;Quels sont les secteurs les plus impactés par les anomalies ?;Tableau_Bord_General;Heatmap;Secteurs - Anomalies relevées;anomalies secteurs suivi gestion
8;Affaires;Comment évolue le nombre d'affaires ouvertes et clôturées ?;KPI_03;Graphique en courbe;Date - Nombre d'affaires ouvertes - Nombre d'affaires clôturées;affaires évolution suivi
9;Affaires;Quelle est la répartition des affaires en attente par type ?;KPI_03;Graphique en secteurs;Type d'affaire - Nombre d'affaires en attente;affaires en attente classification
10;Affaires;Quelle est la répartition des affaires en attente par type ?;KPI_03;Graphique en barres;Type d'affaire - Nombre d'affaires en attente;affaires en-attente répartition suivi
11;Compteurs;Quel est le pourcentage de compteurs sans relève depuis 1 an ?;KPI_07;Carte KPI;Taux de compteurs sans relève;compteurs relève suivi
12;Compteurs;Où sont situés les compteurs sans relève ?;KPI_07;Carte géographique;Numéro de compteur - Ville - Latitude - Longitude;compteurs localisation intervention
13;Compteurs;Quels secteurs ont le plus de compteurs sans relève ?;KPI_07;Graphique en barres;Secteur - Nombre de compteurs sans relève;compteurs relève-secteurs suivi
14;Courriers;Quel pourcentage de courriers est revenu en PND ?;KPI_08;Carte KPI;Taux de courriers en PND;courriers suivi retour
15;Courriers;Comment évolue le nombre de PND chaque mois ?;KPI_08;Histogramme;Date - Nombre de PND;courriers retour suivi
16;Courriers;Quels sont les délais moyens de retour des courriers en PND ?;KPI_08;Carte KPI;Délai moyen retour PND;courriers suivi délais PND
17;Courriers;Quelle est la répartition des courriers revenus en PND par type ?;KPI_08;Graphique en secteurs;Type de courrier - Nombre de PND;courriers types retour suivi
18;Courriers;Comment évolue le volume des courriers en PND par mois ?;KPI_08;Histogramme empilé;Date - Nombre de PND;courriers suivi évolution
19;Factures;Quel est le taux d’impayés actuel ?;KPI_04;Carte KPI;Taux d'impayés;impayés suivi paiement
20;Factures;Quels sont les montants impayés par agence ?;KPI_04;Graphiques à barres;Agence - Montant total impayé;factures impayés suivi-financier
21;Factures;Quelle est l’évolution des impayés sur les 12 derniers mois ?;KPI_04;Graphique en courbe;Date - Montants impayés;impayés évolution suivi-temps
22;Factures;Quelle est l'évolution du taux d’impayés sur les 6 derniers mois ?;KPI_04;Graphique en courbe;Date - Nombre de factures impayées;factures impayés suivi-trésorerie
23;Factures;Quelle est la répartition des paiements en fonction du délai ?;KPI_05;Graphique en secteurs;Intervalle de paiement - Nombre de factures;paiements délais suivi
24;Factures;Quel est le délai moyen de paiement d’une facture ?;KPI_05;Carte KPI;Délai moyen de paiement;factures délai paiement suivi-financier
25;Factures;Comment évoluent les délais moyens de paiement ?;KPI_05;Graphique en courbe;Date - Moyenne des délais de paiement;paiements délai évolution gestion
26;Factures;Quelle est la date de paiement enregistrée et de clôture du règlement ?;KPI_05;Carte KPI;Date de paiement - Date de clôture;factures paiement validation-clôture
27;Factures;Quel est le montant total facturé et réglé ?;KPI_09;Carte KPI;Montant total facturé/réglé/restant;factures paiement suivi
28;Factures;Quels sont les statuts actuels des factures ?;KPI_09;Graphique en secteurs;Factures en cours - Factures réglées - Factures en attente;factures suivi statut
29;Factures;Quels sont les détails des règlements des factures par rôle ?;KPI_09;Table;Date - Numéro de facture - Montant total facturé/réglé/restant;factures règlements suivi-détail
30;Factures;Comment évolue le nombre d'impayés par rapport aux factures réglées ?;KPI_09;Graphique combiné;Date - Nombre d'impayés - Nombre de factures réglées;factures impayés comparaison paiement
31;Paiements;Quel est le taux de prélèvements rejetés ?;KPI_06;Carte KPI;Taux de prélèvements rejetés;paiements rejets suivi-trésorerie
32;Paiements;Quels sont les modes de paiement les plus rejetés ?;KPI_06;Graphique en segments;Mode de paiement - Nombre de rejets;paiements refusé gestion-financière
33;Paiements;Comment évolue la répartition des paiements en fonction du délai ?;KPI_06;Histogramme;Tranche de paiement - Nombre de factures;paiements délais suivi gestion
34;Paiements;Quelle est la part des impayés sur les factures émises ?;KPI_06;Carte KPI;Montant total factures - Montant impayé;factures impayés suivi-trésorerie
35;Paiements;Quelle est la répartition des paiements selon les modes utilisés ?;KPI_06;Graphique en secteurs;Mode de paiement - Nombre de transactions;paiements suivi méthode comparaison
36;Réclamations;Quelle est la répartition des réclamations par mois ?;KPI_01;Histogramme groupé;Date - Nombre de réclamations;réclamations suivi-mensuel évolution
37;Réclamations;Quelle est la durée moyenne de traitement des réclamations ?;KPI_01;Nuage de points;Date - Moyenne de temps de traitement - Type de réclamation - Agence;réclamations délais traitement satisfaction
